0,1,Reliance Industries Ltd,INE002A01018,RELIANCE,"17,13,836.50",RELIANCE,"17,13,863.11",,,"17,13,849.81",Large Cap,RELIANCE,1.0,Reliance Industries Limited,201056022.44887602
1,2,Tata Consultancy Services Ltd.,INE467B01029,TCS,"11,77,609.04",TCS,"11,83,978.70",,,"11,80,793.87",Large Cap,TCS,2.0,Tata Consultancy Services Limited,140247926.46023402
2,3,HDFC Bank Ltd.,INE040A01034,HDFCBANK,"8,33,017.50",HDFCBANK,"8,32,314.51",,,"8,32,666.01",Large Cap,HDFCBANK,3.0,HDFC Bank Limited,109991524.325625
3,5,"Hindustan Unilever Ltd.,",INE030A01027,HINDUNILVR,"6,07,929.20",HINDUNILVR,"6,08,050.82",,,"6,07,990.01",Large Cap,HINDUNILVR,10.0,Hindustan Unilever Limited,53202969.741097
4,6,ICICI Bank Ltd.,INE090A01021,ICICIBANK,"6,07,736.74",ICICIBANK,"6,07,394.70",,,"6,07,565.72",Large Cap,ICICIBANK,4.0,ICICI Bank Limited,76765684.662095
5,7,"State Bank Of India,",INE062A01020,SBIN,"4,95,441.25",SBIN,"4,95,469.81",,,"4,95,455.53",Large Cap,SBIN,6.0,State Bank of India,67144317.885449
6,9,Bharti Airtel  Ltd.,INE397D01024,BHARTIARTL,"4,42,304.80",BHARTIARTL,"4,40,414.84",,,"4,41,359.82",Large Cap,BHARTIARTL,5.0,Bharti Airtel Limited,69478399.828022
7,10,Bajaj Finance Limited,INE296A01024,BAJFINANCE,"4,17,611.37",BAJFINANCE,"4,17,652.89",,,"4,17,632.13",Large Cap,BAJFINANCE,12.0,Bajaj Finance Limited,44847830.8748
8,11,LIFE INSURANCE CORPORATION OF INDIA,INE0J1Y01017,LICI,"4,17,249.73",LICI,"4,17,238.09",,,"4,17,243.91",Large Cap,LICI,8.0,Life Insurance Corporation Of India,57946466.43771151
9,12,ITC Ltd,INE154A01025,ITC,"4,05,117.45",ITC,"4,04,333.87",,,"4,04,725.66",Large Cap,ITC,9.0,ITC Limited,53464377.653102
10,13,Adani Enterprises Ltd.,INE423A01024,ADANIENT,"3,81,460.15",ADANIENT,"3,81,477.25",,,"3,81,468.70",Large Cap,ADANIENT,16.0,Adani Enterprises Limited,36446975.839491
11,14,ADANI TOTAL GAS LIMITED,INE399L01023,ATGL,"3,71,627.76",ATGL,"3,71,702.42",,,"3,71,665.09",Large Cap,ATGL,80.0,Adani Total Gas Limited,10190290.3240365
12,15,Kotak Mahindra Bank Ltd.,INE237A01028,KOTAKBANK,"3,69,103.91",KOTAKBANK,"3,69,064.29",,,"3,69,084.10",Large Cap,KOTAKBANK,17.0,Kotak Mahindra Bank Limited,35493864.40367
13,17,Adani Green Energy Limited,INE364U01010,ADANIGREEN,"3,39,690.63",ADANIGREEN,"3,39,783.84",,,"3,39,737.23",Large Cap,ADANIGREEN,24.0,Adani Green Energy Limited,29069372.020017
14,18,Asian Paints Ltd.,INE021A01026,ASIANPAINT,"3,07,906.40",ASIANPAINT,"3,07,890.71",,,"3,07,898.56",Large Cap,ASIANPAINT,27.0,Asian Paints Limited,27305963.086825
15,19,Larsen & Toubro Limited,INE018A01030,LT,"2,70,351.00",LT,"2,70,378.30",,,"2,70,364.65",Large Cap,LT,11.0,Larsen & Toubro Limited,51739685.697462
16,20,Avenue Supermarts Limited,INE192R01011,DMART,"2,70,297.72",DMART,"2,70,327.81",,,"2,70,312.76",Large Cap,DMART,23.0,Avenue Supermarts Limited,29449575.725408
